,TF,target
548,UBTF,POLI
549,JUN,THBS1
550,WT1,THBS1
551,SP1,IGFBP4
552,ESR2,PRL
553,NR5A1,CTLA4
554,MYBL2,BCL2
555,ELF2,TEK
556,AR,NCOA4
557,TP53,NDN
558,MAX,TP53
559,MYC,TP53
560,RELB,TP53
561,REL,TP53
562,NFKB2,TP53
563,RELA,TP53
564,NFKB1,TP53
565,TP53,NFKB1
567,TP53,RELA
569,CRX,GRB10
570,JUN,GSC
571,JUNB,GHRHR
572,JUND,GHRHR
573,JUN,GHRHR
575,JUNB,EPO
576,JUND,EPO
577,JUN,EPO
578,JUNB,HBB
579,JUND,HBB
580,JUN,HBB
581,JUNB,KRT18
582,JUND,KRT18
583,JUN,KRT18
584,TP63,IL12B
585,NR2F2,ALDH2
586,AHR,ALDH3A1
587,OTX2,GRB10
588,HOXC6,NCAM1
589,FOXO1,IGFBP1
590,STAT1,CSN2
591,STAT5A,CSN2
592,STAT5B,CSN2
593,GATA4,FGF3
594,IRF1,CCL4
595,IRF8,SAMHD1
596,TP53,PGAM2
597,SPI1,UTRN
598,AHR,CYP1A1
599,PITX2,SIGLEC1
600,STAT1,SOCS3
601,STAT3,SOCS3
602,POU2F1,IL5
603,YY1,IL5
604,SP1,CCND3
605,RARA,PLAU
606,SP1,PLAU
607,LEF1,MMP7
608,SPI1,BTK
609,SP1,BTK
610,SP3,BTK
611,SP1,SP3
612,SP3,SP1
613,XBP1,EGFR
614,STAT6,IL4
615,STAT6,SELP
616,SREBF1,APOA2
617,SP1,SLC2A1
618,CEBPB,FSHB
619,GATA4,STAR
620,JUNB,MMP9
621,JUND,MMP9
622,JUN,MMP9
623,RELB,MMP9
624,REL,MMP9
625,NFKB2,MMP9
626,RELA,MMP9
627,NFKB1,MMP9
628,TCF3,EMC7
629,EGR1,PDGFA
630,SP1,PDGFA
631,JUNB,BTG1
632,JUND,BTG1
633,JUN,BTG1
634,JUN,ABCB1
635,RELA,CD40LG
636,IKZF3,BCL2
637,SP1,ABCC8
638,STAT5A,GH1
639,STAT5A,INS
640,STAT5A,PRL
641,STAT5A,PRLR
642,STAT5B,GH1
643,STAT5B,INS
644,STAT5B,PRL
645,STAT5B,PRLR
646,CEBPB,SP1
647,SP1,CEBPD
648,CEBPD,SP1
649,GTF2I,BTK
650,HOXB1,CD1A
651,STAT6,CREBBP
652,RBPJ,IL6
653,SP1,ODC1
654,MYC,ACTB
655,MYC,BRCA1
656,NR5A1,CYP19A1
657,ESR1,NRIP1
658,MYC,BIN1
659,MYC,ODC1
660,MYC,PTMA
661,NRF1,CXCR4
662,GATA1,BCL2L1
663,MYCN,NDRG1
664,PKNOX1,HOXB1
665,NR4A3,IL2
666,NR4A3,IL4
667,NR4A3,ITK
668,NR4A3,CD28
669,TP63,CDKN1A
670,RELB,TRAF1
671,REL,TRAF1
672,NFKB2,TRAF1
673,RELA,TRAF1
674,NFKB1,TRAF1
675,SP1,CYP11A1
676,MAZ,MYC
677,ESR1,COMT
678,JUNB,MAPK3
679,JUND,MAPK3
680,JUN,MAPK3
681,SPI1,TIMP1
682,POU1F1,GH1
683,ATF1,EGR1
684,CREB1,EGR1
685,ATF1,MAP2K2
686,ID3,BMP4
687,ID2,ID3
688,ID3,ID2
689,ERF,CRYAA
690,JUN,CRYAA
691,JUNB,CRYAA
692,JUND,CRYAA
694,EGR1,ABCB1
695,WT1,ABCB1
696,USF1,PDX1
697,YY1,CETP
698,SREBF1,CETP
699,RELB,NOS3
700,REL,NOS3
701,NFKB2,NOS3
702,RELA,NOS3
703,NFKB1,NOS3
704,EGR1,EGF
705,EGR1,TKT
706,GATA1,FCGRT
707,GATA1,IGHE
708,HMGA1,LY6E
709,HMGA2,LY6E
710,POU2F1,LY6E
711,POU2F2,LY6E
712,GATA1,EPB42
713,POU1F1,PRDX6
714,SP1,PRDX6
715,CREB1,MYB
716,SREBF2,KPNB1
717,AHR,CDKN1B
718,JUNB,EGR1
719,JUND,EGR1
720,JUN,EGR1
721,ELF4,LYZ
722,SREBF1,SCD5
723,TP53,GABRA6
724,TP53,TUBB3
725,STAT1,CD40
726,AR,STAR
727,RELB,PTAFR
728,REL,PTAFR
729,NFKB2,PTAFR
730,RELA,PTAFR
731,NFKB1,PTAFR
732,NR1I2,CYP3A4
733,HNF1A,CYP7A1
734,NR1H3,CYP7A1
735,NR2F2,CYP7A1
736,IRF1,TNF
737,MITF,TPSB2
738,STAT5A,HSD3B2
739,MAX,STAT5A
740,CREB1,PRL
741,NCOA1,PRL
742,NR4A1,PRL
743,VDR,PRL
744,NCOR1,MYOD1
745,STAT1,IFNA1
746,WT1,BCL2
747,FOSL1,CLU
749,CREB1,TH
750,PAX6,UNC5C
751,ASCL1,EHD1
752,CREM,INS
753,CREM,TAF4
754,SREBF1,PPARG
755,PPARG,SREBF1
756,SREBF2,PPARG
757,ESR1,CKB
758,ESR2,OXT
759,SP1,HPN
760,TFAP2A,HPN
761,SP1,ABCB1
762,YBX1,ABCB1
763,JUN,SPI1
764,SPI1,JUN
765,JUNB,SNCG
766,JUND,SNCG
767,JUN,SNCG
768,USF1,SPP1
769,HIF1A,VEGFA
770,SMAD4,CDKN1A
771,RELB,CALCA
773,REL,CALCA
775,NFKB2,CALCA
777,RELA,CALCA
779,NFKB1,CALCA
781,PDX1,S100G
782,VDR,S100G
783,KLF5,MYH10
784,KLF5,GZMA
785,ESR1,C3
786,NR3C1,CSN2
787,NR3C2,CSN2
788,EGR1,TNF
789,IRF1,IL18
790,STAT5A,IL4
791,STAT5B,IL4
792,SP1,FN1
793,FOS,FN1
795,PPARG,FABP4
796,JUNB,ICAM1
797,JUND,ICAM1
798,JUN,ICAM1
799,PDX1,PRKCG
800,PDX1,PSMA5
801,STAT5A,BCL2L1
802,SP1,LEP
803,STAT5A,OSM
804,EGR1,MMP14
805,ESR1,SPP1
806,ESR2,SPP1
807,MYRF,COL5A2
808,RELB,BCL2L1
809,REL,BCL2L1
810,NFKB2,BCL2L1
811,RELA,BCL2L1
812,NFKB1,BCL2L1
813,PPARG,CD36
814,JUNB,DAB1
815,JUND,DAB1
816,JUN,DAB1
817,POU2F2,TGFA
818,PDX1,GFAP
819,STAT1,PTGS2
820,STAT5A,PTGS2
821,CEBPB,IL6
822,TP53,PVR
823,TP53,CREBBP
824,ETS1,PARP1
825,TP53,ACHE
826,TP53,AQP1
827,TP73,AQP1
828,TP73,CREBBP
829,TP73,GADD45A
830,ETS1,MGAT5
831,JUN,MGAT5
832,CEBPB,PRG2
833,GATA1,PRG2
834,GATA1,MBP
835,CEBPB,MBP
836,PDX1,GCG
837,PDX1,PIK3C3
838,CEBPB,HSP90AA1
839,STAT3,HSP90AA1
840,STAT1,HSPA4
841,HSF1,HSP90AA1
842,HSF1,HSPA4
843,STAT3,HSPA4
844,JUNB,APEX1
845,JUND,APEX1
846,JUN,APEX1
847,JUNB,HBEGF
848,JUND,HBEGF
849,JUN,HBEGF
850,CEBPB,HP
851,CEBPB,MAPK1
852,STAT3,HP
853,HIF1A,TFRC
854,MYC,HSPA4
855,SP1,PSEN1
856,RELB,IL2
857,REL,IL2
858,NFKB2,IL2
859,RELA,IL2
860,NFKB1,IL2
861,NR5A1,NR0B1
862,ESR1,TNFRSF11A
863,SP1,SLC25A5
864,SP1,TNFRSF11A
865,ESR1,E2F1
866,SP1,E2F1
867,E2F1,SP1
868,SP3,CYP11A1
869,TFAP2A,CYP11A1
870,SP1,SPI1
871,SPI1,SP1
872,SPI1,SP3
873,SP3,SPI1
874,SPI1,CYP11A1
875,STAT3,HSP90AB1
876,ZNF148,ODC1
877,ZNF148,GAST
878,MAZ,PDIK1L
879,TP53,KRAS
880,TFAM,SLC25A5
881,SP1,PLAT
882,SP3,PLAT
883,SPI1,CSF2RB
884,IRF4,IL1B
885,IRF8,IL1B
886,SPI1,IL1B
887,IRF2,IFNG
888,RELB,NFKBIA
889,REL,NFKBIA
890,NFKB2,NFKBIA
891,RELA,NFKBIA
892,NFKB1,NFKBIA
893,SP1,NFKBIA
894,AR,DNM1L
895,AR,SRC
896,NCOA1,MSH6
897,NCOA1,PSMD4
898,SP1,RECK
899,RUNX1,BLK
900,SREBF2,LDLR
901,FOXA1,AFP
902,NR4A2,TH
903,SPI1,TH
904,SP1,MBP
905,NR0B2,SYK
906,NR0B2,IL2
907,PGR,IGFBP1
908,NR5A1,CYP11A1
909,CEBPB,CXCL8
910,HNF1A,UGT1A1
913,CEBPD,IL1B
914,CEBPB,IL1B
915,ESR2,FSHB
916,RELB,PLAU
917,REL,PLAU
918,NFKB2,PLAU
919,RELA,PLAU
920,NFKB1,PLAU
922,KLF1,HBB
923,REL,CCL2
924,RELA,CCL2
925,RELB,CCL2
927,NFKB2,CCL2
929,NFKB1,CCL2
930,TP53,MDM4
931,TP73,MDM4
932,AHR,CTSD
933,ARNT,CTSD
934,SP1,HMGA2
935,SP3,HMGA2
936,DDIT3,HSPA4
938,FOS,HSPA5
939,PGR,IGFBP5
940,ATF2,EP300
941,GATA4,ANKRD1
942,NKX2-5,ANKRD1
943,NFATC2,XCL1
945,LHX3,ESR1
946,NR5A1,SCARB1
947,FOS,CCND2
948,TFAP2A,IL3
949,YY1,IL3
950,PAX3,TYRP1
951,PAX3,FN1
952,MITF,PAX3
953,PAX3,MITF
954,CTCF,LYZ
957,STAT5A,IL7R
958,CEBPB,CETP
959,RELB,TKT
960,REL,TKT
961,NFKB2,TKT
962,RELA,TKT
963,NFKB1,TKT
964,WT1,AREG
965,DBP,CYP2A13
966,DBP,IGKV2D-26
967,RELB,MAP2K1
968,REL,MAP2K1
969,NFKB2,MAP2K1
970,RELA,MAP2K1
971,NFKB1,MAP2K1
972,PITX2,PRL
973,BCL6,IL4
974,BCL6,STAT6
975,STAT6,BCL6
976,BCL6,IGHE
977,E2F1,RB1
978,SP1,LHCGR
979,SP3,LHCGR
980,HNF4A,INS
981,TFCP2,HBA1
982,RELB,SOD2
983,REL,SOD2
984,NFKB2,SOD2
985,RELA,SOD2
986,NFKB1,SOD2
987,ESRRA,CYP19A1
988,HOXD3,PLAU
989,RELB,CADM1
990,REL,CADM1
991,NFKB2,CADM1
992,RELA,CADM1
993,NFKB1,CADM1
994,SP1,PDLIM7
995,SP3,PDLIM7
996,IRF9,IFNL3
997,TFE3,SLC34A1
998,USF1,PKLR
999,JUNB,EDNRA
1000,JUND,EDNRA
1001,JUN,EDNRA
1002,JUNB,PRKCG
1003,JUND,PRKCG
1004,JUN,PRKCG
1005,STAT3,JUNB
1006,SP1,CCND1
1007,TFAP2A,MXI1
1008,ESR1,TFAP2A
1009,TFAP2A,ESR1
1010,ESR1,TFAP2C
1011,CEBPA,PRL
1012,DDIT3,PRL
1014,PAX8,TNF
1015,PAX8,TG
1016,NKX2-1,TG
1017,NKX2-1,TNF
1018,ESR1,CCND1
1019,PBX1,PREB
1020,TCF3,PREB
1021,PBX1,WNT16
1022,TCF3,WNT16
1023,MYC,ACHE
1024,MYC,KAT2B
1025,RELB,KNG1
1026,REL,KNG1
1027,NFKB2,KNG1
1028,RELA,KNG1
1029,NFKB1,KNG1
1030,JUNB,SP4
1031,JUND,SP4
1032,JUN,SP4
1033,SP1,ITGAV
1034,SP3,ITGAV
1035,E2F1,CCNE1
1036,E2F1,CCND1
1037,TP53,YY1
1038,YY1,TP53
1039,IRF1,CIITA
1040,SP1,MMP2
1041,SP3,MMP2
1042,TFAP2A,MMP2
1043,ETV4,MMP2
1044,ELF3,FOLH1
1045,ELF3,KLK3
1046,ATF2,CDKN1A
1047,JUNB,CDKN1A
1048,JUND,CDKN1A
1049,JUN,PDGFB
1050,MYC,CCND2
1051,MAX,CCND2
1052,MYC,MAX
1053,MYC,MXD1
1054,EGR3,FASLG
1055,FLI1,TGFBR2
1056,CEBPB,S100A8
1057,SP1,BAX
1058,ETS1,DDIT3
1060,FLI1,DDIT3
1062,ETS1,TP53
1063,ETS2,TP53
1064,DDIT3,GADD45A
1066,SP1,POU5F1
1067,STAT5A,FOS
1068,EGR1,NAB2
1069,NR1H4,FABP6
1070,RELB,MET
1071,REL,MET
1072,NFKB2,MET
1073,RELA,MET
1074,NFKB1,MET
1075,TP53,CDKN1B
1076,NR1I3,SGIP1
1077,TP53,SGIP1
1078,JUNB,CRH
1079,JUND,CRH
1080,JUN,CRH
1081,HNF4A,HNF1B
1082,JUNB,FOS
1083,JUND,FOS
1084,JUN,FOS
1085,ESR1,HRAS
1086,MYOD1,CDKN1C
1087,MYOD1,CCNE1
1088,MYOD1,CDK2
1089,RELB,IL1A
1092,JUN,MCF2
1093,MEF2C,JUN
1094,SPI1,ETS2
1095,TFAP2A,CDH1
1096,MYC,CDH1
1097,MYB,TOM1
1098,TAL1,PIK3C3
1099,STAT6,IRF1
1100,IRF1,STAT1
1101,STAT1,IRF1
1102,HNF1A,CYP27A1
1103,TP53,GHRHR
1104,TP53,MAP2K1
1105,TP53,MAPK1
1106,PPARA,UCP1
1107,PPARG,UCP1
1108,NR4A1,MEF2A
1109,MEF2A,NR4A1
1110,MEF2A,CABIN1
1111,EPAS1,VEGFA
1112,CEBPB,GH1
1113,FOS,CEBPB
1114,CEBPB,FOS
1115,CEBPD,GH1
1116,RUNX1,CR1
